ID,Maker,Genmodel,Genmodel_ID,Adv_year,Adv_month,Color,Reg_year,Bodytype,Runned_Miles,Engin_size,Gearbox,Fuel_type,Price,Seat_num,Door_num,issue,issue_id,Adv_day,breakdown_date,repair_complexity,repair_cost,repair_hours,repair_date,value
9997,Chrysler,Ypsilon,17_10,2018,3,Black,2014.0,Hatchback,25451,1.2L,Manual,Petrol,5500.0,5.0,5.0,Gear Box Issue,0,19,2018-03-19,3,175.0,6.0,2018-03-20,5.221.261.202.370.830
25705,Ford,Fiesta,29_13,2018,8,Grey,2014.0,Hatchback,78081,1.6L,Manual,still_Diesel_but_you_found_an_easteregg,6000.0,5.0,5.0,Steering Wheel Shaking,0,26,2018-08-26,1,-26.0,1.0,2018-08-26,5.698.365.049.966.060
20536,Ford,Fiesta,29_13,2018,3,Orange,2013.0,Hatchback,21918,1.6L,Manual,Petrol,9295.0,5.0,3.0,Steering Wheel Shaking,0,26,2018-03-26,1,29.295,1.0,2018-03-26,8.828.097.165.148.600
22466,Honda,Accord,34_1,2018,4,Blue,2009.0,Estate,77620,2.2L,Manual,Diesel,6750.0,5.0,5.0,Excessive Emissions,0,16,2018-04-16,1,-26.075,1.0,2018-04-16,6.410.725.612.669.740
31451,Ford,Kuga,29_25,2018,4,White,2013.0,SUV,33211,2.0L,Manual,Diesel,12989.0,5.0,5.0,Starter Motor Issue,0,3,2018-04-03,1,8.243.039.406.557.230,5.769.100.397.562.380,2018-04-27,123.356.684.676.964
7485,Fiat,Grande Punto,28_15,2018,8,Grey,2007.0,Hatchback,119500,1.2L,Manual,Petrol,1000.0,4.0,3.0,Steering Wheel Shaking,0,7,2018-08-07,1,21.0,1.0,2018-08-07,9.493.956.941.548.660
41870,Dacia,Duster,22_1,2021,1,White,2019.0,SUV,12046,1.3L,Manual,Petrol,12925.0,5.0,5.0,Warning Light,0,17,2021-01-17,1,309.25,9.0,2021-01-19,12.270.656.128.596.400
29143,Ford,B-Max,29_1,2018,6,Gold,2014.0,MPV,9785,1.6L,Automatic,Petrol,8295.0,5.0,5.0,Excessive Emissions,0,6,2018-06-06,1,274.655,1.0,2018-06-06,7.875.433.247.853.810
24687,Ford,S-Max,29_31,2018,8,White,2014.0,MPV,56660,2.0L,Manual,Diesel,12399.0,7.0,5.0,Starter Motor Issue,0,6,2018-08-06,1,183.99,3.0,2018-08-06,117.834.161.611.793
11537,Ford,Mustang,29_28,2018,8,Red,2017.0,Coupe,7574,5.0L,Automatic,Petrol,32997.0,4.0,3.0,Brake Pads Worn,0,9,2018-08-09,1,564.985,2.0,2018-08-09,31.347.669.932.690.200
24538,Citroen,C4,18_12,2018,7,Red,2011.0,Hatchback,39500,1.6L,Automatic,Diesel,5590.0,5.0,5.0,Windscreen Crack,0,17,2018-07-17,2,43.354,2.0,2018-07-17,5.307.617.190.359.600
4669,Bentley,Continental,10_5,2018,7,Grey,2015.0,Coupe,8668,6.0L,Automatic,Petrol,93950.0,4.0,2.0,Electrical Issue,3,3,2018-07-03,3,529.75,3.0,2018-07-03,8.924.506.997.925.800
12999,Fiat,Grande Punto,28_15,2018,7,Black,2009.0,Hatchback,75227,1.4L,Manual,Petrol,1995.0,5.0,5.0,Brake Pads Worn,0,24,2018-07-24,1,409.975,2.0,2018-07-24,19.037.535.197.107
8689,Ford,Kuga,29_25,2017,4,Red,2015.0,SUV,21503,2.0L,Manual,Diesel,12994.0,5.0,5.0,Flat Tyres,0,3,2017-04-03,1,238.982,1.0,2017-04-03,12.340.431.858.599.100
23602,Citroen,Grand C4 Picasso,18_24,2018,6,Blue,2015.0,MPV,25000,1.6L,Manual,Diesel,11390.0,5.0,5.0,Gear Box Issue,0,5,2018-06-05,2,193.9,4.0,2018-06-06,10.826.917.217.773.600
45996,Fiat,500C,28_3,2018,8,White,2013.0,Convertible,43000,1.2L,Manual,Petrol,5790.0,4.0,2.0,Warning Light,0,12,2018-08-12,1,237.9,9.0,2018-08-14,5.500.421.332.653.160
39567,Ford,Focus,29_14,2018,7,Blue,2008.0,Hatchback,107322,1.6L,Manual,Petrol,1190.0,5.0,5.0,Brake Pads Worn,0,2,2018-07-02,1,40.595,2.0,2018-07-02,1.123.987.961.194.700
10701,Fiat,500X,28_5,2021,4,Green,2019.0,SUV,19074,1.0L,Manual,Petrol,13299.0,5.0,5.0,Excessive Emissions,0,17,2021-04-17,1,1.163.328.611.557.500,1.0,2021-04-17,1.263.983.558.929.310
4266,Citroen,Berlingo,18_2,2021,4,Black,2019.0,MPV,19375,1.5L,Manual,Diesel,15300.0,7.0,5.0,Steering Wheel Shaking,0,5,2021-04-05,2,55.3,2.0,2021-04-05,14.533.526.210.205.100
42101,Fiat,500,28_2,2018,7,Gelb,2012.0,Hatchback,24000,1.2L,Automatic,Petrol,5490.0,4.0,3.0,Sensor Malfunction,0,9,2018-07-09,1,334.5,3.0,2018-07-09,52.113.283.961.441.300
1651,Honda,CR-V,34_3,2018,5,Brown,2012.0,SUV,46000,2.0L,Automatic,Petrol,10750.0,5.0,5.0,Tyre Alignment,0,3,2018-05-03,1,11.075,0.5,2018-05-03,1.021.546.338.104.490
12723,Ford,S-Max,29_31,2018,3,Blue,2011.0,MPV,64381,2.0L,Manual,Diesel,8500.0,7.0,5.0,Warning Light,0,21,2018-03-21,1,-265.0,9.0,2018-03-23,8.079.690.536.723.450
33404,Citroen,C4,18_12,2018,6,Silver,2007.0,Hatchback,36000,1.6L,Automatic,Diesel,3995.0,5.0,5.0,Warning Light,0,13,2018-06-13,2,21.890.943.077.587.500,1.318.455.352.631.080,2018-07-12,378.982.214.055.864
38928,Ford,Kuga,29_25,2018,4,Grey,2008.0,SUV,84000,2.0L,Manual,Diesel,5689.0,5.0,5.0,Warning Light,0,20,2018-04-20,1,236.89,9.0,2018-04-22,5.388.976.857.733.820
25203,Citroen,DS3,21_1,2018,4,Red,2013.0,Hatchback,26000,1.6L,Manual,Petrol,6977.0,5.0,3.0,Warning Light,0,13,2018-04-13,2,20.107.092.047.011.200,13.904.153.873.641.000,2018-04-30,6.639.158.047.940.090
46000,Honda,HR-V,34_8,2021,5,Silver,2019.0,SUV,9027,1.5L,Automatic,Petrol,20295.0,5.0,5.0,Transmission Issue,1,20,2021-05-20,1,140.885,4.0,2021-05-21,19.278.538.783.716.500
5157,Ford,Mustang,29_28,2018,4,Black,2018.0,Coupe,5000,5.0L,Manual,Petrol,36500.0,4.0,3.0,Transmission Issue,1,4,2018-04-04,1,-189.5,4.0,2018-04-05,3.466.533.416.530.640
3735,Ford,B-Max,29_1,2018,5,Blue,2015.0,MPV,1784,1.4L,Manual,Petrol,9975.0,5.0,5.0,Excessive Emissions,0,4,2018-05-04,1,289.775,1.0,2018-05-04,9.471.399.007.169.990
50245,Ford,Fusion,29_18,2018,5,Blue,2006.0,Hatchback,45000,1.4L,Manual,Petrol,1750.0,5.0,5.0,Sensor Malfunction,0,2,2018-05-02,1,147.5,3.0,2018-05-02,1.655.034.000.185.920
26050,Dacia,Sandero,22_3,2018,3,Grey,2017.0,Hatchback,1890,1.5L,Manual,Diesel,9000.0,5.0,5.0,Brake Pads Worn,0,18,2018-03-18,1,44.5,2.0,2018-03-18,8.542.992.383.706.660
23510,Ford,Mondeo,29_27,2018,4,Silver,2010.0,Hatchback,59601,1.8L,Manual,Diesel,6610.0,5.0,5.0,Radiator Leaking,0,7,2018-04-07,1,-172.2,2.0,2018-04-07,6.273.324.312.737.220
19703,Citroen,DS4,21_3,2017,3,Grey,2015.0,Hatchback,24428,1.6L,Manual,Diesel,9000.0,5.0,5.0,Transmission Issue,2,21,2017-03-21,2,183.0,6.0,2017-03-22,8.551.904.180.391.850
38357,Ford,Mondeo,29_27,2018,5,Grey,2010.0,Hatchback,103184,2.0L,Automatic,Diesel,4480.0,5.0,5.0,Windscreen Crack,0,14,2018-05-14,1,22.688,1.0,2018-05-14,4.251.217.766.610.000
30653,Fiat,500,28_2,2018,7,Grey,2015.0,Hatchback,20848,1.2L,Manual,Petrol,5956.0,4.0,3.0,Steering Wheel Shaking,0,25,2018-07-25,1,25.956,1.0,2018-07-25,5.656.968.834.322.560
31388,Ford,Focus,29_14,2018,8,Black,2016.0,Hatchback,15782,1.0L,Manual,Petrol,9799.0,5.0,5.0,Engine Issue,3,19,2018-08-19,1,1219.9,12.0,2018-08-22,930.301.265.643.632
43778,Ford,Focus,29_14,2018,5,Gelb,2004.0,Hatchback,75000,1.6L,Manual,Petrol,995.0,5.0,5.0,Warning Light,0,17,2018-05-17,1,189.95,9.0,2018-05-19,9.506.474.220.492.860
48316,Ford,Fiesta,29_13,2018,5,Blue,2017.0,Hatchback,12975,1.25L,Manual,Petrol,9000.0,5.0,5.0,Flat Tyres,0,10,2018-05-10,1,22.7,1.0,2018-05-10,8.551.086.451.471.750
4748,Fiat,500,28_2,2018,7,Blue,2012.0,Hatchback,32000,1.2L,Manual,Petrol,4890.0,4.0,3.0,Engine Issue,4,7,2018-07-07,1,444.5,10.0,2018-07-09,4.643.667.703.329.050
9044,Ford,S-Max,29_31,2018,4,Silver,2015.0,MPV,28741,2.0L,Manual,Diesel,13999.0,7.0,5.0,Radiator Leaking,0,11,2018-04-11,1,319.98,2.0,2018-04-11,13.296.931.427.734.400
2073,Ford,Kuga,29_25,2018,4,Black,2011.0,SUV,56847,2.0L,Manual,Diesel,8750.0,5.0,5.0,Sensor Malfunction,0,26,2018-04-26,1,497.5,3.0,2018-04-26,8.314.974.788.698.350
36646,Ford,C-Max,29_2,2018,5,Blue,2017.0,MPV,46857,1.5L,Manual,Diesel,11790.0,5.0,5.0,Radiator Leaking,0,16,2018-05-16,1,275.8,2.0,2018-05-16,11.192.776.161.182.100
18804,Abarth,595,2_4,2021,1,Yellow,2019.0,Hatchback,7080,1.4L,Manual,Petrol,16795.0,4.0,3.0,Starter Motor Issue,0,21,2021-01-21,2,28.795.000.000.000.000,6.0,2021-01-22,15.950.372.450.820.300
22816,Ford,Fiesta,29_13,2021,5,Red,2019.0,Hatchback,9778,1.0L,Manual,Petrol,13499.0,5.0,3.0,Windscreen Crack,0,10,2021-05-10,1,280.994,1.0,2021-05-10,12.827.272.276.441.900
8972,Fiat,500,28_2,2018,7,Red,2013.0,Hatchback,31200,1.2L,Manual,Petrol,5495.0,4.0,3.0,Radiator Leaking,0,3,2018-07-03,1,149.9,2.0,2018-07-03,5.223.583.374.669.830
4836,Ford,Mondeo,29_27,2018,8,Blue,2013.0,Estate,59940,2.0L,Automatic,Diesel,8000.0,5.0,5.0,Sensor Malfunction,0,5,2018-08-05,1,18.120.464.243.644,3.0,2018-08-05,7.601.747.404.551.190
38745,Ford,Mondeo,29_27,2018,7,Black,2009.0,Hatchback,122000,2.0L,Manual,Diesel,1950.0,5.0,5.0,Steering Wheel Shaking,0,7,2018-07-07,1,21.95,1.0,2018-07-07,18.498.626.506.411.400
11177,Ford,C-Max,29_2,2018,3,Brown,2016.0,MPV,22321,1.5L,Manual,Diesel,9825.0,5.0,5.0,Brake Pads Worn,0,24,2018-03-24,1,-449.125,2.0,2018-03-24,9.338.025.880.200.030
16158,Ford,Tourneo Connect,29_34,2018,8,Black,2015.0,MPV,29402,1.6L,Manual,Diesel,9991.0,5.0,5.0,Radiator Leaking,0,11,2018-08-11,1,239.82,2.0,2018-08-11,9.492.968.780.434.570
32839,Citroen,C4 Picasso,18_14,2018,8,Blue,2017.0,MPV,14256,1.6L,Manual,Diesel,15800.0,5.0,5.0,Transmission Issue,3,23,2018-08-23,2,462.2,16.0,2018-08-27,15.008.921.300.770.200
19607,Ford,Kuga,29_25,2018,4,Silver,2009.0,SUV,108901,2.0L,Manual,Diesel,5495.0,5.0,5.0,Tyre Alignment,0,5,2018-04-05,1,10.5495,0.5,2018-04-05,52.124.863.521.731
29219,Fiat,Grande Punto,28_15,2018,2,Grey,2006.0,Hatchback,54000,1.4L,Manual,Petrol,1499.0,5.0,5.0,Excessive Emissions,0,22,2018-02-22,1,213.491,1.0,2018-02-22,1.430.521.951.145.340
9056,Fiat,500,28_2,2018,8,Red,2012.0,Hatchback,28217,1.2L,Manual,Petrol,5400.0,4.0,3.0,Brake Pads Worn,0,19,2018-08-19,1,42.7,2.0,2018-08-19,512.787.143.486.624
38102,Ford,Ranger,29_30,2018,8,Silver,2015.0,Pickup,28039,2.2L,Manual,Diesel,19140.0,5.0,4.0,Tyre Alignment,0,17,2018-08-17,1,11.914,0.5,2018-08-17,1.818.701.884.367.280
14148,Honda,CR-V,34_3,2018,7,Blue,2013.0,SUV,54000,2.2L,Automatic,Diesel,11995.0,5.0,5.0,Excessive Emissions,0,10,2018-07-10,1,-17.943.132.539.833.400,1.061.847.343.816.730,2018-08-05,11.395.340.281.960.700
10871,Fiat,Qubo,28_21,2018,4,Silver,2010.0,MPV,55000,1.3L,Manual,Diesel,4295.0,5.0,5.0,Excessive Emissions,0,18,2018-04-18,1,238.655,1.0,2018-04-18,4.086.529.748.703.860
45138,Ford,Focus,29_14,2021,5,Red,2019.0,Hatchback,6629,1.0L,Automatic,Petrol,18500.0,5.0,5.0,Warning Light,0,15,2021-05-15,1,365.0,9.0,2021-05-17,17.574.143.891.063.700
35251,Ford,Mondeo,29_27,2018,4,Brown,2014.0,Estate,91000,2.0L,Automatic,Diesel,8990.0,5.0,5.0,Starter Motor Issue,0,17,2018-04-17,1,149.9,3.0,2018-04-17,8.536.487.710.585.800
3576,Ferrari,488,27_7,2018,8,Red,2017.0,Convertible,9546,3.9L,Automatic,Petrol,258994.0,2.0,2.0,Starter Motor Issue,0,5,2018-08-05,3,1.304.876.951.870.730,9.390.466.222.350.130,2018-08-12,2.460.464.817.714.290
8796,Ford,Fusion,29_18,2018,4,Black,2004.0,Hatchback,133000,1.4L,Manual,Petrol,699.0,5.0,5.0,Starter Motor Issue,0,18,2018-04-18,1,66.99,3.0,2018-04-18,661.091.606.451.227
23401,Ford,Focus,29_14,2018,5,Blue,2016.0,Estate,36279,1.5L,Manual,Diesel,11000.0,5.0,5.0,Windscreen Crack,0,2,2018-05-02,1,26.6,1.0,2018-05-02,10.448.554.326.237.100
45027,Fiat,500,28_2,2018,6,Red,2016.0,Hatchback,11000,1.2L,Manual,Petrol,8250.0,4.0,3.0,Alternator Failing,0,7,2018-06-07,1,205.0,2.0,2018-06-07,7.831.180.485.282.110
10927,Citroen,C4,18_12,2018,8,Grey,2017.0,Hatchback,2127,1.6L,Manual,Diesel,10999.0,5.0,5.0,Transmission Issue,1,8,2018-08-08,2,192.997,8.0,2018-08-10,10.437.958.286.971.900
49664,Citroen,Xsara Picasso,18_30,2018,5,Gelb,2009.0,MPV,79600,1.6L,Manual,Diesel,1650.0,5.0,5.0,Excessive Emissions,0,11,2018-05-11,2,41.485,2.0,2018-05-11,15.723.698.470.433.400
36245,Abarth,595,2_4,2018,8,Blue,2018.0,Hatchback,9500,1.4L,Manual,Petrol,21500.0,2.0,3.0,Radiator Leaking,0,2,2018-08-02,2,510.0,4.0,2018-08-03,20.414.378.133.188.400
23730,Ford,Fiesta,29_13,2018,8,Blue,2003.0,Hatchback,109000,1.4L,Manual,Petrol,1091.0,5.0,5.0,Engine Issue,2,13,2018-08-13,1,483.65,16.0,2018-08-17,10.283.233.169.913.900
35957,Ford,S-Max,29_31,2018,4,Gelb,2018.0,MPV,50,2.0L,Manual,Diesel,21995.0,7.0,5.0,Starter Motor Issue,0,8,2018-04-08,1,27.995.000.000.000.000,3.0,2018-04-08,2.089.512.342.097.030
23167,Citroen,Xsara Picasso,18_30,2018,7,Silver,2003.0,MPV,128000,1.8L,Manual,Petrol,395.0,5.0,5.0,Excessive Emissions,0,9,2018-07-09,2,403.555,2.0,2018-07-09,37.495.788.097.498.200
43006,Fiat,Idea,28_16,2017,11,Black,2004.0,Hatchback,93236,1.4L,Manual,Petrol,850.0,5.0,5.0,Brake Pads Worn,0,28,2017-11-28,1,40.425,2.0,2017-11-28,8.081.492.639.630.540
7595,Chevrolet,Trax,16_18,2018,5,White,2013.0,Hatchback,21780,1.6L,Manual,Petrol,7490.0,5.0,5.0,Engine Issue,2,3,2018-05-03,1,1443.5,16.0,2018-05-07,71.199.461.035.376.300
39365,Fiat,Bravo,28_10,2018,7,Silver,2007.0,Hatchback,89000,1.9L,Manual,Diesel,1500.0,5.0,5.0,Warning Light,0,24,2018-07-24,1,195.0,9.0,2018-07-26,1.424.853.254.657.470
52255,Dacia,Logan MCV,22_2,2018,3,White,2014.0,Estate,67000,1.5L,Manual,Diesel,5995.0,5.0,5.0,Engine Issue,1,9,2018-03-09,1,1359.0,8.0,2018-03-11,5.690.043.040.169.940
38994,Fiat,500,28_2,2021,3,Red,2019.0,Hatchback,20000,1.2L,Manual,Petrol,7495.0,4.0,3.0,Flat Tyres,0,3,2021-03-03,1,-222.485,1.0,2021-03-03,7.125.917.247.657.550
50642,Citroen,Berlingo,18_2,2018,3,Blue,2015.0,MPV,20500,1.6L,Manual,Diesel,9450.0,5.0,0.0,Engine Issue,3,12,2018-03-12,2,1425.0,24.0,2018-03-18,8.975.629.428.209.850
28811,Ford,Kuga,29_25,2018,5,Gelb,2017.0,SUV,4500,2.0L,Manual,still_Diesel_but_you_found_an_easteregg,20995.0,5.0,5.0,Flat Tyres,0,21,2018-05-21,1,262.985,1.0,2018-05-21,1.994.354.490.094.520
5494,Chrysler,300C,17_1,2018,5,Black,2008.0,Saloon,50000,3.0L,Automatic,Diesel,5490.0,5.0,4.0,Radiator Leaking,0,2,2018-05-02,3,229.8,6.0,2018-05-03,5.217.318.269.359.750
32674,Chevrolet,Lacetti,16_11,2018,8,Blue,2008.0,Estate,820000,1.8L,Automatic,Petrol,325.0,5.0,5.0,Engine Issue,3,8,2018-08-08,1,272.5,12.0,2018-08-11,309.904.703.631.359
6680,Citroen,Grand C4 Picasso,18_24,2018,5,Red,2013.0,MPV,33000,2.0L,Automatic,Diesel,8000.0,7.0,5.0,Gear Box Issue,0,18,2018-05-18,2,160.0,4.0,2018-05-19,7.598.106.042.803.990
11668,Honda,Civic,34_2,2018,3,White,2013.0,Hatchback,86000,1.6L,Manual,Diesel,6745.0,5.0,5.0,Warning Light,0,22,2018-03-22,1,12.383.178.451.251.400,9.156.376.875.849.020,2018-04-09,6.411.276.390.350.440
34280,Ford,Galaxy,29_19,2018,5,Silver,2017.0,MPV,16923,2.0L,Manual,Diesel,20491.0,7.0,5.0,Alternator Failing,0,26,2018-05-26,1,449.82,2.0,2018-05-26,1.946.302.938.334.980
23534,Citroen,Xsara Picasso,18_30,2018,4,Beige,2007.0,MPV,57800,2.0L,Automatic,Petrol,3245.0,5.0,5.0,Warning Light,0,1,2018-04-01,2,392.45,18.0,2018-04-05,3.087.492.505.161.660
39473,Ford,Mondeo,29_27,2018,3,Black,2006.0,Hatchback,80000,2.2L,Manual,Diesel,3250.0,5.0,5.0,Starter Motor Issue,0,26,2018-03-26,1,92.5,3.0,2018-03-26,30.912.096.867.467.400
23541,Fiat,500,28_2,2018,8,Beige,2014.0,Hatchback,48052,1.2L,Manual,Petrol,5795.0,4.0,3.0,Brake Pads Worn,0,28,2018-08-28,1,-428.975,2.0,2018-08-28,5.501.727.718.437.240
30461,Ford,S-Max,29_31,2018,3,Black,2015.0,MPV,42023,1.6L,Manual,Diesel,12250.0,7.0,5.0,Steering Wheel Shaking,0,8,2018-03-08,1,32.25,1.0,2018-03-08,11.636.417.145.726.400
46514,Fiat,Grande Punto,28_15,2018,1,Blue,2008.0,Hatchback,73000,1.2L,Manual,Petrol,1495.0,4.0,3.0,Tyre Alignment,0,24,2018-01-24,1,10.1495,0.5,2018-01-24,1.422.319.341.146.710
31403,Ford,C-Max,29_2,2018,4,Blue,2014.0,MPV,51957,1.6L,Manual,Petrol,9709.0,7.0,5.0,Starter Motor Issue,0,22,2018-04-22,1,157.09,3.0,2018-04-22,9.228.332.262.348.570
52715,Ford,Mustang,29_28,2018,3,Gelb,2017.0,Convertible,815,5.0L,Automatic,Petrol,38990.0,4.0,3.0,Gear Box Issue,0,14,2018-03-14,1,429.9,2.0,2018-03-14,3.704.197.104.236.240
20540,Ford,Galaxy,29_19,2018,1,Black,2012.0,MPV,110000,2.0L,Automatic,Diesel,5489.0,7.0,5.0,Brake Pads Worn,0,20,2018-01-20,1,427.445,2.0,2018-01-20,5.212.190.607.250.200
14656,Ford,C-Max,29_2,2018,8,Red,2014.0,MPV,25219,1.6L,Manual,Diesel,7895.0,5.0,5.0,Sensor Malfunction,0,17,2018-08-17,1,454.75,3.0,2018-08-17,7.487.091.217.700.160
8109,Ford,Fiesta,29_13,2018,8,Black,2008.0,Hatchback,77546,1.25L,Manual,Petrol,2295.0,5.0,3.0,Steering Wheel Shaking,0,26,2018-08-26,1,22.295,1.0,2018-08-26,21.847.199.279.354.000
19472,Honda,Jazz,34_11,2018,8,Grey,2017.0,Hatchback,9450,1.3L,Manual,Petrol,11995.0,5.0,5.0,Radiator Leaking,0,15,2018-08-15,1,279.9,2.0,2018-08-15,1.139.888.937.816.980
27166,Ford,Mondeo,29_27,2018,4,Grey,2017.0,Hatchback,9000,2.0L,Manual,Diesel,17390.0,5.0,5.0,Brake Pads Worn,0,8,2018-04-08,1,-24.305.061.120.841.400,2.0,2018-04-08,1.652.372.648.555.450
8102,Fiat,500C,28_3,2017,12,White,2010.0,Convertible,48000,1.4L,Manual,Petrol,4590.0,4.0,2.0,Gear Box Issue,0,28,2017-12-28,1,85.9,2.0,2017-12-28,43.652.692.866.435
21815,Honda,HR-V,34_8,2018,3,Silver,2017.0,SUV,9983,1.5L,Manual,Petrol,17890.0,5.0,5.0,Sensor Malfunction,0,15,2018-03-15,1,954.5,3.0,2018-03-15,169.862.152.393.929
